Location Name,Slug,X Coordinates,Y Coordinates
Oxyrhynchos Cluster (22),oxyrhynchos,31.70834,16.21047
Philadelphia Cluster (7),philadelphia,33.55957,8.70743
Provenance Unknown Cluster (1),provenance-unknown,19.695,7.66071
Hermopolis Cluster (7),hermopolis,32.27594,13.89347
Aphroditopolites Cluster (3),aphroditopolites,33.12968,19.15675
Kellis Cluster (2),kellis,30.49419,19.01993
Nessana Cluster (3),nessana,34.65366,14.04347
Arsinoites Cluster (17),arsinoites,31.785,15.55357
Apollonopolites Heptakomias Cluster (1),apollonopolites-heptakomias,32.175,17.41071
Krokodilo Cluster (2),krokodilo,33.85011,18.66082
Antinoopolis Cluster (2),antinoopolis,31.88718,16.89019
Soknopaiu Nesos Cluster (4),soknopaiu-nesos,31.72175,15.29035
Tebtynis Cluster (2),tebtynis,31.79499,15.6863
Theadelphia Cluster (2),theadelphia,31.58763,15.46251
Theben Cluster (1),theben,33.25287,18.88096
Herakleopolites Cluster (3),herakleopolites,31.92897,15.70632
Trimithis Cluster (1),trimithis,30.31908,18.88007
"Herakleopolites , province of Egypt Cluster (1)","herakleopolites-,-province-of-egypt",31.785,16.01786
Arsinoiton Polis Cluster (2),arsinoiton-polis,31.85517,15.49325
Kerkeosiris Cluster (2),kerkeosiris,31.74085,15.66114
Lykopolis Cluster (1),lykopolis,32.12238,17.47446
Euhemeria Cluster (1),euhemeria,31.61597,15.4298
