Location Name,Slug,X Coordinates,Y Coordinates
Magdola Cluster (5),magdola,31.71337,15.67221
Aphrodites Kome Cluster (5),aphrodites-kome,26.2204,7.41668
Philadelphia Cluster (16),philadelphia,33.55957,8.70743
Hermopolis Cluster (97),hermopolis,32.27594,13.89347
Theben Cluster (4),theben,33.25287,18.88096
Pesla  oder Hermopolis Cluster (6),pesla--oder-hermopolis,35.01502,13.35819
Nemaris Cluster (1),nemaris,29.25,1.39286
Oxyrhynchos Cluster (96),oxyrhynchos,31.71047,16.21169
Pselkis Cluster (2),pselkis,26.25994,9.9606
Trimithis Cluster (1),trimithis,30.31908,18.88007
Oberägypten Cluster (1),oberägypten,31.005,6.73214
H�rit Cluster (2),h�rit,24.18,7.42857
Antinoopolis Cluster (11),antinoopolis,31.85826,16.90649
Antiochia  bzw. Oxyrhynchos Cluster (1),antiochia--bzw.-oxyrhynchos,36.00895,9.09938
Panopolis Cluster (3),panopolis,32.56124,18.04689
Ptolemais Euergetis Cluster (10),ptolemais-euergetis,31.85517,15.49325
Didymoi Cluster (3),didymoi,33.84582,18.85108
Theadelphia Cluster (12),theadelphia,31.58999,15.45978
Herakleopolites Cluster (32),herakleopolites,31.93804,15.70057
Latopolis Cluster (3),latopolis,33.16133,19.22854
Lykopolis Cluster (1),lykopolis,32.12238,17.47446
Arsinoites Cluster (32),arsinoites,31.785,15.55357
"Oxyrhynchite nome, province of Egypt Cluster (3)","oxyrhynchite-nome,-province-of-egypt",31.77199,16.52446
Karanis Cluster (7),karanis,31.88348,15.31364
Herakleopolites oder Oxyrhynchites Cluster (2),herakleopolites-oder-oxyrhynchites,31.83055,16.0644
